frame_id,timestamp,ego_speed_mps,ego_yaw,road_type,weather,lead_distance_m,cut_in_flag,pedestrian_flag,brake_flag
frame_000001,0.0,21.6859932563898,0.0,highway,clear,35.0,0,0,0
frame_000002,0.1,21.141942741824852,0.0,highway,clear,35.0,0,0,0
frame_000003,0.2,21.761061273910624,0.0,highway,clear,35.0,0,0,0
frame_000004,0.3,23.627644115407247,0.0,highway,clear,35.0,0,0,0
frame_000005,0.4,22.32651825410439,0.0,highway,clear,35.0,0,0,0
frame_000006,0.5,20.529927839160436,0.0,highway,clear,35.0,0,0,0
frame_000007,0.6,22.114799728236825,0.0,highway,clear,35.0,0,0,0
frame_000008,0.7,21.629720958662734,0.0,highway,clear,35.0,0,0,0
frame_000009,0.8,20.055837459177795,0.0,highway,clear,35.0,0,0,0
frame_000010,0.9,20.705723502974777,0.0,highway,clear,35.0,0,0,0
frame_000011,1.0,20.074204119327057,0.0,highway,clear,35.0,0,0,0
frame_000012,1.1,20.04712542489168,0.0,highway,clear,35.0,0,0,0
frame_000013,1.2,20.407564338020226,0.0,highway,clear,35.0,0,0,0
frame_000014,1.3,23.596075235412727,0.0,highway,clear,35.0,0,0,0
frame_000015,1.4,21.817955880445304,0.0,highway,clear,35.0,0,0,0
frame_000016,1.5,22.517353578760584,0.0,highway,clear,35.0,0,0,0
frame_000017,1.6,21.213615262641223,0.0,highway,clear,35.0,0,0,0
frame_000018,1.7,21.846416692337073,0.0,highway,clear,35.0,0,0,0
frame_000019,1.8,21.826090667128547,0.0,highway,clear,35.0,0,0,0
frame_000020,1.9,20.183359553207236,0.0,highway,clear,35.0,0,0,0
frame_000021,2.0,23.79581832015532,0.0,highway,clear,35.0,0,0,0
frame_000022,2.1,23.671173235511112,0.0,highway,clear,35.0,0,0,0
frame_000023,2.2,23.996330326258697,0.0,highway,clear,35.0,0,0,0
frame_000024,2.3,23.609690098138202,0.0,highway,clear,35.0,0,0,0
frame_000025,2.4,20.573589725510764,0.0,highway,clear,35.0,0,0,0
frame_000026,2.5,23.567972757502357,0.0,highway,clear,35.0,0,0,0
frame_000027,2.6,23.43554247068067,0.0,highway,clear,35.0,0,0,0
frame_000028,2.7,23.77253258570134,0.0,highway,clear,35.0,0,0,0
frame_000029,2.8,20.743274392788074,0.0,highway,clear,35.0,0,0,0
frame_000030,2.9,21.162684410719656,0.0,highway,clear,35.0,0,0,0
frame_000031,3.0,21.073549287250287,0.0,highway,clear,35.0,0,0,0
frame_000032,3.1,23.454050753603255,0.0,highway,clear,35.0,0,0,0
frame_000033,3.2,22.41540557705057,0.0,highway,clear,35.0,0,0,0
frame_000034,3.3,22.060930385325115,0.0,highway,clear,35.0,0,0,0
frame_000035,3.4,22.87035669346405,0.0,highway,clear,35.0,0,0,0
frame_000036,3.5,23.86437014902839,0.0,highway,clear,35.0,0,0,0
frame_000037,3.6,23.14423075104262,0.0,highway,clear,15.0,1,0,0
frame_000038,3.7,20.760400006873375,0.0,highway,clear,15.0,1,0,0
frame_000039,3.8,21.229160645844424,0.0,highway,clear,15.0,1,0,0
frame_000040,3.9,20.51373244970044,0.0,highway,clear,15.0,1,0,0
frame_000041,4.0,22.159824291044256,0.0,highway,clear,15.0,1,0,0
